actorName,actorImage,actorLink,movieLink,movieName
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt2139881,Long Shot
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt9196186,Dior J'adore: The New Absolu
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt3721964,Gringo
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt5610554,Tully
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt5691552,The Orville
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt4630562,The Fate of the Furious
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt2406566,Atomic Blonde
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt4302938,Kubo and the Two Strings
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt3286560,The Last Face
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt2381991,The Huntsman: Winter's War
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt6422380,Dior J'adore: The Absolute Femininity
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt8520434,Take Flight - The New York Times
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt1392190,Mad Max: Fury Road
Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/440px-Charlize-theron-IMG_6045.jpg,nm0000234,tt2402101,Dark Places
